document_title,document_text,question_text,yes_no_answer,short_answer1,short_answer2,short_answer3,short_answer4,short_answer5,short_answer6,short_answer7,short_answer8,short_answer9,short_answer10,short_answer11,short_answer12,short_answer13,short_answer14,short_answer15,short_answer16,short_answer17,short_answer18,short_answer19,short_answer20,short_answer21,short_answer22,short_answer23
Tabitha and Napoleon D'umo,,who are the judges on do you think you can dance,NONE,,,,,,,,,,,,,,,,,,,,,,,
Employment authorization document,,can you have an ead without a visa,NONE,,,,,,,,,,,,,,,,,,,,,,,
Gilmore Girls (season 5),,when do luke and lorelai get back together,NONE,,,,,,,,,,,,,,,,,,,,,,,
2018 NCAA Division I Men's Basketball Tournament,,where are march madness games 2018 being played,NONE,,,,,,,,,,,,,,,,,,,,,,,
Walk the Line (soundtrack),,who sang the songs on walk the line,NONE,189-191,200-202,212-214,224-226,235-237,247-249,,,,,,,,,,,,,,,,,
Bert and Ernie,,bert and ernie how they got their names,NONE,,,,,,,,,,,,,,,,,,,,,,,
History of the Great Wall of China,,who was the great wall of china built to defend against,NONE,96-100,,,,,,,,,,,,,,,,,,,,,,
National Institute of Cancer Research and Hospital,,national institute of cancer research and hospital (nicr&h),NONE,,,,,,,,,,,,,,,,,,,,,,,
List of awards and nominations received by Tom Hanks,,did tom hanks won an award for castaway,YES,,,,,,,,,,,,,,,,,,,,,,,
Beauty and the Beast (2017 film),,who played the beast in the movie beauty and the beast,NONE,430-432,,,,,,,,,,,,,,,,,,,,,,
HORSE,,what does the e stand for in horse poker,NONE,,,,,,,,,,,,,,,,,,,,,,,
Electromyography,,what features of muscle contraction can be determined from an emg (electromyogram),NONE,122-125,,,,,,,,,,,,,,,,,,,,,,
Autumn,,what is the meaning of the word autumn,NONE,,,,,,,,,,,,,,,,,,,,,,,
Lobbying in the United States,,explain one way in which interest groups are important in the united states today,NONE,,,,,,,,,,,,,,,,,,,,,,,
Daylight saving time in the United States,,when did day light savings start in the us,NONE,786-790,,,,,,,,,,,,,,,,,,,,,,
Law of attraction (New Thought),,what is the secret of the law of attraction,NONE,,,,,,,,,,,,,,,,,,,,,,,
Boötes,,how did the constellation bootes get its name,NONE,,,,,,,,,,,,,,,,,,,,,,,
Environmental issues in Japan,,which of these is japan’s worst environmental issue,NONE,,,,,,,,,,,,,,,,,,,,,,,
Elizabeth Berkley,,who plays kyle's mom on csi miami,NONE,,,,,,,,,,,,,,,,,,,,,,,
Date and time notation in the United States,,how to write time and date in military,NONE,,,,,,,,,,,,,,,,,,,,,,,
NFL playoffs,,how many weeks in nfl season including playoffs,NONE,,,,,,,,,,,,,,,,,,,,,,,
Lane,,the left or fast lane is called the number 1 lane,NONE,,,,,,,,,,,,,,,,,,,,,,,
Lists of The New York Times Fiction Best Sellers,,books on the new york times bestseller list the longest,NONE,,,,,,,,,,,,,,,,,,,,,,,
Rocinante,,what is don quixote's horse's name,NONE,30-31,,,,,,,,,,,,,,,,,,,,,,
"Fayetteville, North Carolina",,what is the population of fayetteville north carolina,NONE,541-544,,,,,,,,,,,,,,,,,,,,,,
CCR5,,how was it discovered that a deletion in the ccr5 gene could affect hiv tropism,NONE,,,,,,,,,,,,,,,,,,,,,,,
Feed Jake,,if i die before i wake feed jake original,NONE,,,,,,,,,,,,,,,,,,,,,,,
Sons of Anarchy,,in sons of anarchy who is sam crow,NONE,3841-3859,,,,,,,,,,,,,,,,,,,,,,
Climate,,what are the three major climate zones found on planet earth and how are they identified,NONE,,,,,,,,,,,,,,,,,,,,,,,
Pretty in Pink,,who plays the dad in pretty in pink,NONE,,,,,,,,,,,,,,,,,,,,,,,
Democratic National Convention,,who selects the delegates that attend the national conventions,NONE,,,,,,,,,,,,,,,,,,,,,,,
66th Academy Awards,,who won an oscar for schindler's list,NONE,,,,,,,,,,,,,,,,,,,,,,,
Parliament of England,,when was the first parliament opened and who was the first speaker,NONE,,,,,,,,,,,,,,,,,,,,,,,
Bromophenol blue,,what is the purpose of the bromophenol blue dye in the samples,NONE,,,,,,,,,,,,,,,,,,,,,,,
Where Do We Go from Here (Vanessa Williams song),,where do we go from here the song,NONE,,,,,,,,,,,,,,,,,,,,,,,
"I Love You, Man",,who plays zoey in i love you man,NONE,,,,,,,,,,,,,,,,,,,,,,,
Mercy Mercy Me (The Ecology),,what is mercy mercy me by marvin gaye about,NONE,,,,,,,,,,,,,,,,,,,,,,,
Species,,when are organisms considered to belong to the same species,NONE,,,,,,,,,,,,,,,,,,,,,,,
Alamo Mission in San Antonio,,when was the mission san antonio de valero built,NONE,,,,,,,,,,,,,,,,,,,,,,,
Qui tam,,federal false claims act and qui tam litigation,NONE,,,,,,,,,,,,,,,,,,,,,,,
Battle of Ypres,,when did the first battle of ypres end,NONE,83-86,,,,,,,,,,,,,,,,,,,,,,
Son (novel),,how many chapters are in son by lois lowry,NONE,,,,,,,,,,,,,,,,,,,,,,,
Trough level,,what is peak and trough in relation to antibiotic therapy,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of One Day International cricket double centuries,,who had the best strike rate among batsmen who scored over 200 runs in the world cup,NONE,,,,,,,,,,,,,,,,,,,,,,,
Corporate social responsibility,,when is the segment making a contribution to the corporate bottom line,NONE,,,,,,,,,,,,,,,,,,,,,,,
Taking Chance,,is the movie taking chance a true story,YES,,,,,,,,,,,,,,,,,,,,,,,
Utang na loob,,what is the meaning of utang na loob,NONE,81-94,,,,,,,,,,,,,,,,,,,,,,
Brawl Stars,,when does brawl stars come to the usa,NONE,,,,,,,,,,,,,,,,,,,,,,,
End of World War II in Asia,,how did ww2 end in europe and the pacific,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of best-selling music artists,,who has sold the most country albums of all time,NONE,,,,,,,,,,,,,,,,,,,,,,,
Electric chair,,when did they stop using the electric chair in america,NONE,,,,,,,,,,,,,,,,,,,,,,,
Prisoners (Temporary Discharge for Ill Health) Act 1913,,when was the cat and mouse act introduced,NONE,75-76,,,,,,,,,,,,,,,,,,,,,,
Law & Order: Special Victims Unit (season 18),,when does season 18 of law and order svu start,NONE,199-205,,,,,,,,,,,,,,,,,,,,,,
Lord Howe Island,,when did lord howe island became a world heritage site,NONE,10552-10554,,,,,,,,,,,,,,,,,,,,,,
Sex and the City,,where did they live in sex and the city,NONE,,,,,,,,,,,,,,,,,,,,,,,
Calcutta Cup,,when's the last time scotland won the calcutta cup,NONE,,,,,,,,,,,,,,,,,,,,,,,
Jigsaw (2017 film),,when does the new saw 8 come out,NONE,,,,,,,,,,,,,,,,,,,,,,,
2017 Wimbledon Championships – Women's Singles,,who won the 2017 women's wimbledon final,NONE,228-230,,,,,,,,,,,,,,,,,,,,,,
Criminal law,,what is the main objective of criminal law,NONE,,,,,,,,,,,,,,,,,,,,,,,
Villegas,,where did the last name villegas originate from,NONE,,,,,,,,,,,,,,,,,,,,,,,
The Ranch (TV series),,what is the netflix show the ranch about,NONE,374-394,,,,,,,,,,,,,,,,,,,,,,
Judges of the International Court of Justice,,supreme court judge to serve as international court of justice,NONE,,,,,,,,,,,,,,,,,,,,,,,
Death Wish (2018 film),,when does death wish with bruce willis come out on dvd,NONE,,,,,,,,,,,,,,,,,,,,,,,
Federal Reserve Board of Governors,,who appoints the members of the board of governors of the federal reserve,NONE,237-239,,,,,,,,,,,,,,,,,,,,,,
First-wave feminism,,what was the result of the first wave of feminism,NONE,,,,,,,,,,,,,,,,,,,,,,,
History of Cameroon,,cameroun is made up of colonies from which two countries,NONE,,,,,,,,,,,,,,,,,,,,,,,
Four Marks of the Church,,what is meant by the church is one,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of Indian spices,,list of all spices in english and hindi,NONE,,,,,,,,,,,,,,,,,,,,,,,
Megalith,,the most common form of megalithic architecture in europe is,NONE,1089-1092,,,,,,,,,,,,,,,,,,,,,,
Wreck-It Ralph,,who are bad guys in wreck it ralph,NONE,,,,,,,,,,,,,,,,,,,,,,,
Home and Family,,where is hallmark channel home and family filmed,NONE,462-466,,,,,,,,,,,,,,,,,,,,,,
Degrees of freedom (mechanics),,number of degree of freedom for plane mechanism,NONE,,,,,,,,,,,,,,,,,,,,,,,
Pure Country,,who plays dusty in the movie pure country,NONE,385-387,,,,,,,,,,,,,,,,,,,,,,
List of dates for Easter,,when was the last easter that fell on april 1st,NONE,,,,,,,,,,,,,,,,,,,,,,,
Death March to the Parallel World Rhapsody,,death march to parallel world rhapsody ep 5,NONE,,,,,,,,,,,,,,,,,,,,,,,
Ghostbusters (2016 film),,when is the new ghostbusters 2 coming out,NONE,,,,,,,,,,,,,,,,,,,,,,,
The Passion of the Christ,,when did the passion of the christ come out,NONE,349-350,,,,,,,,,,,,,,,,,,,,,,
Assyrian captivity,,who did the assyrians conquer in 722 bce,NONE,,,,,,,,,,,,,,,,,,,,,,,
This Is the House That Jack Built,,this is the house that jack built nursery rhyme lyrics,NONE,,,,,,,,,,,,,,,,,,,,,,,
Sports in St. Louis,,how many nfl teams has st louis had,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of Pro Football Hall of Fame inductees,,how many players in football hall of fame,NONE,,,,,,,,,,,,,,,,,,,,,,,
Economy of Nazi Germany,,how much money did germany spend in ww2,NONE,,,,,,,,,,,,,,,,,,,,,,,
The Day the Music Died,,who missed the plane the day the music died,NONE,,,,,,,,,,,,,,,,,,,,,,,
Criminal Minds (season 9),,does reid died in criminal minds season 9,NONE,,,,,,,,,,,,,,,,,,,,,,,
River Irk,,where does the river irk start and finish,NONE,208-211,221-230,,,,,,,,,,,,,,,,,,,,,
A Walk Among the Tombstones (film),,where was the movie a walk among the tombstones filmed,NONE,1435-1438,,,,,,,,,,,,,,,,,,,,,,
History of the Great Wall of China,,what dynasty completed the great wall of china,NONE,363-365,,,,,,,,,,,,,,,,,,,,,,
Virginia Plan,,in what part of the great compromise are the ideas of the virginia plan represented the senate,NONE,,,,,,,,,,,,,,,,,,,,,,,
Criminal jurisdiction,,what happens if one tries to hide out in another state after being charged with a crime constitution,NONE,,,,,,,,,,,,,,,,,,,,,,,
1984 Democratic National Convention,,who gave a speech to the democratic national convention in 1984,NONE,335-340,357-360,361-364,,,,,,,,,,,,,,,,,,,,
Prehistoric warfare,,the first war in the history of mankind,NONE,,,,,,,,,,,,,,,,,,,,,,,
Derek Shepherd,,what do meredith and derek name their son,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of most streamed songs on Spotify,,who is the most downloaded artist of all time,NONE,,,,,,,,,,,,,,,,,,,,,,,
Universal Declaration of Human Rights,,what is united nations declaration of human rights,NONE,390-399,,,,,,,,,,,,,,,,,,,,,,
Instrument flight rules,,when is a pilot on an ifr flight plan responsible for avoiding other aircraft,NONE,,,,,,,,,,,,,,,,,,,,,,,
Group 10 element,,which of the following describes the element k,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of countries by population growth rate,,countries having low and high growth rate of population,NONE,,,,,,,,,,,,,,,,,,,,,,,
2017 US Open – Women's Singles,,who won women's singles us open 2017,NONE,268-270,,,,,,,,,,,,,,,,,,,,,,
Null hypothesis,,when do you retain or reject the null hypothesis,NONE,,,,,,,,,,,,,,,,,,,,,,,
Game of Thrones,,when does game of thrones show in us,NONE,,,,,,,,,,,,,,,,,,,,,,,
Super Bowl ring,,what nfl team has the most expensive super bowl ring,NONE,292-295,,,,,,,,,,,,,,,,,,,,,,
Age requirements in gymnastics,,what is the oldest age to be in the olympics,NONE,,,,,,,,,,,,,,,,,,,,,,,
Somebody's Watching Me,,i always feel like somebody is watching me lyrics,NONE,,,,,,,,,,,,,,,,,,,,,,,
The Flash (season 4),,when will the flash season 4 episode 14 coming out,NONE,4105-4109,,,,,,,,,,,,,,,,,,,,,,
Inca Empire,,most of the ancient inca structures have been destroyed by earthquakes,NONE,,,,,,,,,,,,,,,,,,,,,,,
Russian Provisional Government,,what event caused the duma to establish a provisional government in russia,NONE,328-338,,,,,,,,,,,,,,,,,,,,,,
The Book of Eli,,in the book of eli was he blind,YES,,,,,,,,,,,,,,,,,,,,,,,
Phoenix Marketcity (Chennai),,who is the owner of phoenix mall in chennai,NONE,,,,,,,,,,,,,,,,,,,,,,,
Koko (gorilla),,the nurse says the letter r is the name of this animal,NONE,,,,,,,,,,,,,,,,,,,,,,,
Procedures of the Supreme Court of the United States,,a request to the supreme court that it review a case that was already decided is made via a(n),NONE,,,,,,,,,,,,,,,,,,,,,,,
American entry into World War I,,when did the usa join world war one,NONE,50-52,,,,,,,,,,,,,,,,,,,,,,
The Red Badge of Courage,,where does the red badge of courage take place,NONE,,,,,,,,,,,,,,,,,,,,,,,
Don't Take Your Guns to Town,,who sings don't take your guns to town,NONE,270-272,,,,,,,,,,,,,,,,,,,,,,
Unanimity,,what was the problem with requiring a unanimous vote of the states,NONE,,,,,,,,,,,,,,,,,,,,,,,
Rankings of universities in the United States,,what is the number one university in the united states,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of songs recorded by KK,,karna hai tere naal dance soniye mp3 download,NONE,,,,,,,,,,,,,,,,,,,,,,,
Peripheral nervous system,,describe the structures and functions in the peripheral nervous system,NONE,,,,,,,,,,,,,,,,,,,,,,,
Nurse (Romeo and Juliet),,what type of person is the nurse in romeo and juliet,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of European cities by population within city limits,,5 cities with the highest population in europe,NONE,314-315,382-383,450-451,523-525,589-590,,,,,,,,,,,,,,,,,,
EU-US Privacy Shield,,what rights do eu citizens have under the privacy shield,NONE,,,,,,,,,,,,,,,,,,,,,,,
"My Kinsman, Major Molineux",,who is the young man in hawthorne's my kinsman major molineux,NONE,247-248,,,,,,,,,,,,,,,,,,,,,,
Three-point field goal,,when did the nba create the 3 point line,NONE,680-686,,,,,,,,,,,,,,,,,,,,,,
2012 Aurora shooting,,what theater number was the aurora shooting in,NONE,785-786,,,,,,,,,,,,,,,,,,,,,,
Back to You (Louis Tomlinson song),,back to you by louis tomlinson bebe rexha,NONE,,,,,,,,,,,,,,,,,,,,,,,
Committee of Public Safety,,what document produced during the french revolution was ignored by the committee of public safety,NONE,,,,,,,,,,,,,,,,,,,,,,,
Peloponnesian War,,who won the peloponnesian war and how did they win,NONE,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Stone (Law & Order character),,who played ben stone son on law and order,NONE,,,,,,,,,,,,,,,,,,,,,,,
Indian elephant,,how many indian elephants are there in the world,NONE,,,,,,,,,,,,,,,,,,,,,,,
Grand Canyon,,animals at the bottom of the grand canyon,NONE,,,,,,,,,,,,,,,,,,,,,,,
As Told by Ginger,,who sang the them song for as told by ginger,NONE,172-174,,,,,,,,,,,,,,,,,,,,,,
List of The Big Bang Theory episodes,,the big bang theory season 9 ep 6,NONE,,,,,,,,,,,,,,,,,,,,,,,
Day of the Dead,,where is dia de los muertos celebrated in mexico,NONE,216-226,,,,,,,,,,,,,,,,,,,,,,
Agriculture in the United States,,how many farmers are there in the usa,NONE,,,,,,,,,,,,,,,,,,,,,,,
I Can Only Imagine (MercyMe song),,who wrote the country song i can only imagine,NONE,329-331,,,,,,,,,,,,,,,,,,,,,,
Amazon (company),,when did the amazon great indian festival 2017 begin,NONE,,,,,,,,,,,,,,,,,,,,,,,
Tertiary education fees in Australia,,when did university stop being free in australia,NONE,795-796,,,,,,,,,,,,,,,,,,,,,,
Peromyscus maniculatus,,where do deer mice live in the us,NONE,,,,,,,,,,,,,,,,,,,,,,,
International relations of the Great Powers (1814–1919),,what was the general goal of imperial powers such as great britain in the late nineteenth century,NONE,,,,,,,,,,,,,,,,,,,,,,,
Hypertext Transfer Protocol,,the first line of http request message is called ____,NONE,3676-3678,,,,,,,,,,,,,,,,,,,,,,
Battle of Badr,,when did the battle of badr take place,NONE,376-382,,,,,,,,,,,,,,,,,,,,,,
MAP sensor,,where is the manifold absolute pressure sensor located,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of Richmond Football Club captains,,who is the captain of richmond football club,NONE,605-607,,,,,,,,,,,,,,,,,,,,,,
Chief Justice of the United States,,who is the supreme justice of the supreme court,NONE,40-42,,,,,,,,,,,,,,,,,,,,,,
List of Fairy Tail episodes,,when is fairy tail ep 278 coming out,NONE,,,,,,,,,,,,,,,,,,,,,,,
American Equal Rights Association,,speech to the american equal rights association summary,NONE,,,,,,,,,,,,,,,,,,,,,,,
Family Guy,,are they still making new episodes of family guy,YES,,,,,,,,,,,,,,,,,,,,,,,
I Wanna Dance with Somebody (Who Loves Me),,who wrote i want to dance with somebody by whitney houston,NONE,,,,,,,,,,,,,,,,,,,,,,,
Kurosaki-kun no Iinari ni Nante Naranai,,kurosaki kun no iinari ni nante naranai drama,NONE,,,,,,,,,,,,,,,,,,,,,,,
The Lord of the Rings: The Fellowship of the Ring,,the fellowship of the ring director's cut length,NONE,,,,,,,,,,,,,,,,,,,,,,,
2017 World Weightlifting Championships,,who won gold medal at world weightlifting championship held in united states,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of countries by tax rates,,who has the highest corporate taxes in the world,NONE,9548-9549,3747-3748,1517-1518,1756-1757,1951-1952,2274-2275,6743-6744,,,,,,,,,,,,,,,,
Computer data storage,,where is most data stored on a computer,NONE,1554-1561,,,,,,,,,,,,,,,,,,,,,,
Reveille,,what song is played while raising the american flag,NONE,382-385,,,,,,,,,,,,,,,,,,,,,,
Category:16th-century monarchs in Europe,,who became one of the most popular monarchs in the 16th century,NONE,,,,,,,,,,,,,,,,,,,,,,,
Call of Duty: World at War – Final Fronts,,is world at war a prequel to black ops,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of Spanish football champions,,who won la liga in the last 10 years,NONE,,,,,,,,,,,,,,,,,,,,,,,
Amicus curiae,,which of the following is not a true statement about amicus curiae briefs,NONE,,,,,,,,,,,,,,,,,,,,,,,
Ozark (TV series),,what is the series ozark about on netflix,NONE,,,,,,,,,,,,,,,,,,,,,,,
Climate of South Africa,,during which season does cape town receive rainfall,NONE,,,,,,,,,,,,,,,,,,,,,,,
Dust Bowl,,when did the dust bowl end in oklahoma,NONE,154-155,,,,,,,,,,,,,,,,,,,,,,
Baby Got Back,,who sings my anaconda don't want none,NONE,,,,,,,,,,,,,,,,,,,,,,,
The Impalas,,who sang i ran all the way home,NONE,29-31,,,,,,,,,,,,,,,,,,,,,,
Betcha Can't Do It Like Me,,betcha can't do it like me song,NONE,,,,,,,,,,,,,,,,,,,,,,,
"Keystone Heights, Florida",,what is the population of keystone heights florida,NONE,362-363,,,,,,,,,,,,,,,,,,,,,,
List of cities and towns in Georgia (country),,capital of georgia the former soviet republic 7 letters,NONE,283-284,,,,,,,,,,,,,,,,,,,,,,
Are You the One?,,when does the new season of are you the one come on,NONE,,,,,,,,,,,,,,,,,,,,,,,
I Dig Rock and Roll Music,,who sang i dig rock and roll music,NONE,297-302,,,,,,,,,,,,,,,,,,,,,,
Blind carbon copy,,what is the meaning of cc and bcc,NONE,,,,,,,,,,,,,,,,,,,,,,,
Victim blaming,,the victim was asking for it is an example of a,NONE,,,,,,,,,,,,,,,,,,,,,,,
Black Friday (shopping),,where does the black friday term come from,NONE,,,,,,,,,,,,,,,,,,,,,,,
Rafael Nadal,,where did rafael nadal win his first tennis title,NONE,,,,,,,,,,,,,,,,,,,,,,,
Camel,,what is the name of a camel with 2 humps,NONE,250-261,,,,,,,,,,,,,,,,,,,,,,
Hammond Stadium,,hammond stadium at centurylink sports complex 14100 six mile cypress parkway fort myers fl 33912,NONE,,,,,,,,,,,,,,,,,,,,,,,
Identity theft,,identity theft typically does not include credit-card theft,NONE,,,,,,,,,,,,,,,,,,,,,,,
Cool jazz,,who were the principal musicians of the jazz avant-garde,NONE,,,,,,,,,,,,,,,,,,,,,,,
Detroit Tigers,,when was the last time the dodgers went to the world seris,NONE,,,,,,,,,,,,,,,,,,,,,,,
Adjusted gross income,,where do you find the adjusted gross income,NONE,,,,,,,,,,,,,,,,,,,,,,,
Tara Knowles,,when does tara get pregnant in sons of anarchy,NONE,,,,,,,,,,,,,,,,,,,,,,,
Vertical integration,,a business that controls all of the supply and demand a product or service,NONE,,,,,,,,,,,,,,,,,,,,,,,
Stem cell,,where are stem cells found in our body,NONE,,,,,,,,,,,,,,,,,,,,,,,
One Day at a Time (2017 TV series),,who plays young lydia in one day at a time,NONE,,,,,,,,,,,,,,,,,,,,,,,
British passport,,who made uk passports before de la rue,NONE,,,,,,,,,,,,,,,,,,,,,,,
Big Momma's House,,who plays big momma in big mommas house,NONE,,,,,,,,,,,,,,,,,,,,,,,
Biceps,,the biceps brachii muscle extends the arm at the elbow,NONE,,,,,,,,,,,,,,,,,,,,,,,
Driver's licenses in Trinidad and Tobago,,how to get your taxi badge in trinidad,NONE,,,,,,,,,,,,,,,,,,,,,,,
Nonso Anozie,,who plays samson in the bible tv series,NONE,,,,,,,,,,,,,,,,,,,,,,,
"Once More, with Feeling (Buffy the Vampire Slayer)",,buffy the vampire slayer musical walk through the fire,NONE,,,,,,,,,,,,,,,,,,,,,,,
"United States presidential election, 1824",,who received the most (but not a majority of) electoral votes in 1824,NONE,,,,,,,,,,,,,,,,,,,,,,,
Education of the British royal family,,where did the royal family go to school,NONE,,,,,,,,,,,,,,,,,,,,,,,
Romantic music,,how did orchestra change in the romantic period,NONE,,,,,,,,,,,,,,,,,,,,,,,
Safiya,,what is the meaning of safiya in urdu,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of United States Presidential firsts,,who was the first president to be photographed while in office,NONE,,,,,,,,,,,,,,,,,,,,,,,
Labor unions in the United States,,who were the first labor unions formed by,NONE,,,,,,,,,,,,,,,,,,,,,,,
Cool Hand Luke,,who plays the walking boss in cool hand luke,NONE,926-928,,,,,,,,,,,,,,,,,,,,,,
Agatha Christie,,where did christie work when she wrote her first novel what is the title of this novel,NONE,,,,,,,,,,,,,,,,,,,,,,,
Wikipedia:How to create a page,,how to start a wikipedia page for someone,NONE,,,,,,,,,,,,,,,,,,,,,,,
The Lunar Chronicles,,what is the third book in the lunar chronicles,NONE,695-696,,,,,,,,,,,,,,,,,,,,,,
Strange Case of Dr Jekyll and Mr Hyde,,summary of the book the strange case of dr jekyll and mr hyde,NONE,,,,,,,,,,,,,,,,,,,,,,,
Equal Rights Amendment,,the equal rights amendment banned discrimination based on which of these,NONE,,,,,,,,,,,,,,,,,,,,,,,
Rules of Engagement (TV series),,how many seasons of rules of engagement is there,NONE,436-437,,,,,,,,,,,,,,,,,,,,,,
Red River of the South,,where does the red river start and end in louisiana,NONE,595-598,,,,,,,,,,,,,,,,,,,,,,
Boxing at the 2000 Summer Olympics – Super heavyweight,,who won the super heavyweight gold medal at the 2000 olympics,NONE,,,,,,,,,,,,,,,,,,,,,,,
Identity documents in the United States,,where can i get a state issued id,NONE,1190-1194,,,,,,,,,,,,,,,,,,,,,,
List of Olympic medalists in figure skating,,what medals did usa win in figure skating,NONE,,,,,,,,,,,,,,,,,,,,,,,
An Ember in the Ashes,,when does an ember in the ashes movie come out,NONE,,,,,,,,,,,,,,,,,,,,,,,
WhatsApp,,who is the ceo of what's up,NONE,,,,,,,,,,,,,,,,,,,,,,,
Ventricular system,,where does cerebrospinal fluid flow to when it exits the cerebral aqueduct,NONE,455-457,,,,,,,,,,,,,,,,,,,,,,
Nil Darpan,,who translated the play neel darpan into english,NONE,1339-1342,,,,,,,,,,,,,,,,,,,,,,
Combustion,,what must be present for a combustion reaction to occur,NONE,,,,,,,,,,,,,,,,,,,,,,,
Original jurisdiction of the Supreme Court of the United States,,the supreme court only have original jurisdiction in two kinds of cases,NONE,241-263,285-295,,,,,,,,,,,,,,,,,,,,,
Federal Unemployment Tax Act,,under the federal unemployment tax act which party pays unemployment taxes,NONE,305-306,,,,,,,,,,,,,,,,,,,,,,
Thin film,,what is meant by thin film in physics,NONE,,,,,,,,,,,,,,,,,,,,,,,
Pretty Little Liars (season 7),,who is a pretty little liars season 7,NONE,,,,,,,,,,,,,,,,,,,,,,,
Grok,,what is the means of strange in hindi,NONE,,,,,,,,,,,,,,,,,,,,,,,
Bring It On: In It to Win It,,bring it on in it to win it song,NONE,,,,,,,,,,,,,,,,,,,,,,,
Colon Street,,what is the oldest street in the philippines,NONE,24-26,,,,,,,,,,,,,,,,,,,,,,
National Lottery (United Kingdom),,how many uk lottery tickets are sold each week,NONE,,,,,,,,,,,,,,,,,,,,,,,
African French,,english and french are spoken in many parts of africa because,NONE,,,,,,,,,,,,,,,,,,,,,,,
Henry Clay,,how did the panic of 1819 create conflict between members of the democratic-republican party,NONE,,,,,,,,,,,,,,,,,,,,,,,
Gulf Stream,,the gulf stream the world's fastest ocean current flows along the western side of this water body,NONE,,,,,,,,,,,,,,,,,,,,,,,
Track ballast,,gravel crushed rock cinder these are used as ballast on railroad beds,NONE,,,,,,,,,,,,,,,,,,,,,,,
Bill Paxton,,how old do you have to be to work at pacson,NONE,,,,,,,,,,,,,,,,,,,,,,,
Blue laws in the United States,,in florida it is illegal to sell alcohol before 1 pm on any sunday. this is an example of,NONE,23-29,,,,,,,,,,,,,,,,,,,,,,
History of U.S. foreign policy,,which of the following represented the general path of american foreign policy,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of best-selling music artists,,who is the most selling music artist of all time,NONE,,,,,,,,,,,,,,,,,,,,,,,
Little Sisters of the Abandoned Elderly,,little sisters home for the elderly san juan,NONE,,,,,,,,,,,,,,,,,,,,,,,
Taare Zameen Par,,who are the characters of every child is special,NONE,,,,,,,,,,,,,,,,,,,,,,,
Carnival Glory,,what class of ship is the carnival glory,NONE,266-271,,,,,,,,,,,,,,,,,,,,,,
Category:Nuclear power plants in Washington (state),,how many nuclear power plants in washington state,NONE,,,,,,,,,,,,,,,,,,,,,,,
Oregon,,show me a map of the state of oregon,NONE,,,,,,,,,,,,,,,,,,,,,,,
Tika Sumpter,,who plays candace on the haves and have nots,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of college bowl games,,how many ncaa football games in a season,NONE,,,,,,,,,,,,,,,,,,,,,,,
History of McDonald's,,when did mcdonald's sell 1 million burgers,NONE,,,,,,,,,,,,,,,,,,,,,,,
White Fence Farm,,when does white fence farm close for the season,NONE,,,,,,,,,,,,,,,,,,,,,,,
"Dubuque, Iowa",,how do i get to dubuque from here,NONE,,,,,,,,,,,,,,,,,,,,,,,
FIFA World Cup hosts,,when did the united states host the world cup,NONE,,,,,,,,,,,,,,,,,,,,,,,
Michael Stivic,,who played mike stivic on all in the family,NONE,481-483,,,,,,,,,,,,,,,,,,,,,,
2018 College Football Playoff National Championship,,where is the college championship game being played at,NONE,559-567,,,,,,,,,,,,,,,,,,,,,,
The Secret of Crickley Hall (TV series),,the secret of crickley hall how many episodes,NONE,,,,,,,,,,,,,,,,,,,,,,,
All I Could Do Was Cry,,all i can do is cry beyonce lyrics,NONE,,,,,,,,,,,,,,,,,,,,,,,
Doctrine of lapse,,the doctrine of lapse was one of the causes of which religion,NONE,,,,,,,,,,,,,,,,,,,,,,,
United States presidential line of succession,,who replaces the vice president in the senate,NONE,,,,,,,,,,,,,,,,,,,,,,,
What I Like About You (song),,who sang what i like about you originally,NONE,294-299,,,,,,,,,,,,,,,,,,,,,,
Ryanair,,how many flights do ryanair have a day,NONE,,,,,,,,,,,,,,,,,,,,,,,
Google Chrome version history,,what is the latest version of chrome for linux,NONE,9663-9664,,,,,,,,,,,,,,,,,,,,,,
Motion (physics),,motion of earth is a combination of motion,NONE,,,,,,,,,,,,,,,,,,,,,,,
Broadcast domain,,what is a broadcast domain and collision domain,NONE,,,,,,,,,,,,,,,,,,,,,,,
Blighted ovum,,gestational sac and yolk sac but no baby at 7 weeks,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of Academy Award winners and nominees from India,,who is the first indian who got oscar for lifetime achievement,NONE,,,,,,,,,,,,,,,,,,,,,,,
Hector (ship),,when did the ship hector arrived in pictou,NONE,748-749,,,,,,,,,,,,,,,,,,,,,,
